Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),57491,56322,113813,Kengtung,MMR016001
 Associate Scrutiny Card (blue),68,94,162,Kengtung,MMR016001
 Naturalised Scrutiny Card (green),106,98,204,Kengtung,MMR016001
 National Registration Card (3-fold),179,234,413,Kengtung,MMR016001
 Religious card,557,20,577,Kengtung,MMR016001
 Temporary Registration Card (white),284,243,527,Kengtung,MMR016001
 Foreign Registration Card (FRC),21,8,29,Kengtung,MMR016001
 Foreign Passport,57,79,136,Kengtung,MMR016001
 None,11250,9763,21013,Kengtung,MMR016001
 Child under 10 years,17766,16980,34746,Kengtung,MMR016001
 Total,87779,83841,171620,Kengtung,MMR016001
