Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9844,9825,19669,Tada(ST),MMR013024
 Associate Scrutiny Card (blue),21,19,40,Tada(ST),MMR013024
 Naturalised Scrutiny Card (green),301,265,566,Tada(ST),MMR013024
 National Registration Card (3-fold),226,322,548,Tada(ST),MMR013024
 Religious card,90,5,95,Tada(ST),MMR013024
 Temporary Registration Card (white),37,26,63,Tada(ST),MMR013024
 Foreign Registration Card (FRC),3,1,4,Tada(ST),MMR013024
 Foreign Passport,-,1,1,Tada(ST),MMR013024
 None,3650,4416,8066,Tada(ST),MMR013024
 Child under 10 years,2906,2725,5631,Tada(ST),MMR013024
 Total,17078,17605,34683,Tada(ST),MMR013024
