Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6601,4971,11572,Khamaukgyi,MMR006009
 Associate Scrutiny Card (blue),6,9,15,Khamaukgyi,MMR006009
 Naturalised Scrutiny Card (green),52,6,58,Khamaukgyi,MMR006009
 National Registration Card (3-fold),249,223,472,Khamaukgyi,MMR006009
 Religious card,46,-,46,Khamaukgyi,MMR006009
 Temporary Registration Card (white),50,36,86,Khamaukgyi,MMR006009
 Foreign Registration Card (FRC),2,-,2,Khamaukgyi,MMR006009
 Foreign Passport,3,2,5,Khamaukgyi,MMR006009
 None,3031,2477,5508,Khamaukgyi,MMR006009
 Child under 10 years,2616,2660,5276,Khamaukgyi,MMR006009
 Total,12656,10384,23040,Khamaukgyi,MMR006009
