Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),98310,119230,217540,North Okkalapa,MMR013012
 Associate Scrutiny Card (blue),170,169,339,North Okkalapa,MMR013012
 Naturalised Scrutiny Card (green),969,624,1593,North Okkalapa,MMR013012
 National Registration Card (3-fold),3185,4263,7448,North Okkalapa,MMR013012
 Religious card,1839,568,2407,North Okkalapa,MMR013012
 Temporary Registration Card (white),2154,3011,5165,North Okkalapa,MMR013012
 Foreign Registration Card (FRC),85,75,160,North Okkalapa,MMR013012
 Foreign Passport,112,90,202,North Okkalapa,MMR013012
 None,28016,28191,56207,North Okkalapa,MMR013012
 Child under 10 years,21500,20732,42232,North Okkalapa,MMR013012
 Total,156340,176953,333293,North Okkalapa,MMR013012
