Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),52831,55985,108816,Kyauktaga,MMR007006
 Associate Scrutiny Card (blue),106,130,236,Kyauktaga,MMR007006
 Naturalised Scrutiny Card (green),6029,7341,13370,Kyauktaga,MMR007006
 National Registration Card (3-fold),392,445,837,Kyauktaga,MMR007006
 Religious card,679,29,708,Kyauktaga,MMR007006
 Temporary Registration Card (white),320,449,769,Kyauktaga,MMR007006
 Foreign Registration Card (FRC),18,16,34,Kyauktaga,MMR007006
 Foreign Passport,27,26,53,Kyauktaga,MMR007006
 None,32261,40113,72374,Kyauktaga,MMR007006
 Child under 10 years,27361,26654,54015,Kyauktaga,MMR007006
 Total,120024,131188,251212,Kyauktaga,MMR007006
