Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5255,5624,10879,Myitta(ST),MMR006001
 Associate Scrutiny Card (blue),13,9,22,Myitta(ST),MMR006001
 Naturalised Scrutiny Card (green),25,24,49,Myitta(ST),MMR006001
 National Registration Card (3-fold),195,252,447,Myitta(ST),MMR006001
 Religious card,35,1,36,Myitta(ST),MMR006001
 Temporary Registration Card (white),30,27,57,Myitta(ST),MMR006001
 Foreign Registration Card (FRC),22,13,35,Myitta(ST),MMR006001
 Foreign Passport,19,6,25,Myitta(ST),MMR006001
 None,2240,2057,4297,Myitta(ST),MMR006001
 Child under 10 years,2775,2737,5512,Myitta(ST),MMR006001
 Total,10609,10750,21359,Myitta(ST),MMR006001
