Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),32076,38185,70261,Myinmu,MMR005002
 Associate Scrutiny Card (blue),11,19,30,Myinmu,MMR005002
 Naturalised Scrutiny Card (green),141,102,243,Myinmu,MMR005002
 National Registration Card (3-fold),629,1184,1813,Myinmu,MMR005002
 Religious card,638,32,670,Myinmu,MMR005002
 Temporary Registration Card (white),35,27,62,Myinmu,MMR005002
 Foreign Registration Card (FRC),4,1,5,Myinmu,MMR005002
 Foreign Passport,6,22,28,Myinmu,MMR005002
 None,7599,10752,18351,Myinmu,MMR005002
 Child under 10 years,7810,7713,15523,Myinmu,MMR005002
 Total,48949,58037,106986,Myinmu,MMR005002
