Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),54234,65837,120071,Hline,MMR013040
 Associate Scrutiny Card (blue),307,357,664,Hline,MMR013040
 Naturalised Scrutiny Card (green),803,692,1495,Hline,MMR013040
 National Registration Card (3-fold),1200,1713,2913,Hline,MMR013040
 Religious card,959,79,1038,Hline,MMR013040
 Temporary Registration Card (white),377,458,835,Hline,MMR013040
 Foreign Registration Card (FRC),151,167,318,Hline,MMR013040
 Foreign Passport,201,101,302,Hline,MMR013040
 None,8464,8044,16508,Hline,MMR013040
 Child under 10 years,8333,7830,16163,Hline,MMR013040
 Total,75029,85278,160307,Hline,MMR013040
