Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41289,44984,86273,Paunde,MMR008004
 Associate Scrutiny Card (blue),51,42,93,Paunde,MMR008004
 Naturalised Scrutiny Card (green),111,94,205,Paunde,MMR008004
 National Registration Card (3-fold),210,257,467,Paunde,MMR008004
 Religious card,408,38,446,Paunde,MMR008004
 Temporary Registration Card (white),202,320,522,Paunde,MMR008004
 Foreign Registration Card (FRC),8,15,23,Paunde,MMR008004
 Foreign Passport,8,6,14,Paunde,MMR008004
 None,14369,16387,30756,Paunde,MMR008004
 Child under 10 years,9556,9206,18762,Paunde,MMR008004
 Total,66212,71349,137561,Paunde,MMR008004
