Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),53421,55093,108514,Einme,MMR017015
 Associate Scrutiny Card (blue),25,28,53,Einme,MMR017015
 Naturalised Scrutiny Card (green),93,66,159,Einme,MMR017015
 National Registration Card (3-fold),175,248,423,Einme,MMR017015
 Religious card,430,25,455,Einme,MMR017015
 Temporary Registration Card (white),64,54,118,Einme,MMR017015
 Foreign Registration Card (FRC),6,7,13,Einme,MMR017015
 Foreign Passport,17,19,36,Einme,MMR017015
 None,20837,24902,45739,Einme,MMR017015
 Child under 10 years,19561,19030,38591,Einme,MMR017015
 Total,94629,99472,194101,Einme,MMR017015
