Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12995,12946,25941,Gwa,MMR012017
 Associate Scrutiny Card (blue),3,3,6,Gwa,MMR012017
 Naturalised Scrutiny Card (green),54,16,70,Gwa,MMR012017
 National Registration Card (3-fold),125,173,298,Gwa,MMR012017
 Religious card,119,14,133,Gwa,MMR012017
 Temporary Registration Card (white),158,226,384,Gwa,MMR012017
 Foreign Registration Card (FRC),1,2,3,Gwa,MMR012017
 Foreign Passport,9,18,27,Gwa,MMR012017
 None,4373,4601,8974,Gwa,MMR012017
 Child under 10 years,3321,3277,6598,Gwa,MMR012017
 Total,21158,21276,42434,Gwa,MMR012017
