Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),93999,106587,200586,Hinthada,MMR017008
 Associate Scrutiny Card (blue),155,156,311,Hinthada,MMR017008
 Naturalised Scrutiny Card (green),363,216,579,Hinthada,MMR017008
 National Registration Card (3-fold),850,1302,2152,Hinthada,MMR017008
 Religious card,1537,229,1766,Hinthada,MMR017008
 Temporary Registration Card (white),215,157,372,Hinthada,MMR017008
 Foreign Registration Card (FRC),28,28,56,Hinthada,MMR017008
 Foreign Passport,16,31,47,Hinthada,MMR017008
 None,33902,41579,75481,Hinthada,MMR017008
 Child under 10 years,28629,28456,57085,Hinthada,MMR017008
 Total,159694,178741,338435,Hinthada,MMR017008
