Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14040,12259,26299,Tanaing,MMR001004
 Associate Scrutiny Card (blue),9,7,16,Tanaing,MMR001004
 Naturalised Scrutiny Card (green),65,27,92,Tanaing,MMR001004
 National Registration Card (3-fold),311,258,569,Tanaing,MMR001004
 Religious card,53,6,59,Tanaing,MMR001004
 Temporary Registration Card (white),94,93,187,Tanaing,MMR001004
 Foreign Registration Card (FRC),-,1,1,Tanaing,MMR001004
 Foreign Passport,7,6,13,Tanaing,MMR001004
 None,5755,5010,10765,Tanaing,MMR001004
 Child under 10 years,5439,5126,10565,Tanaing,MMR001004
 Total,25773,22793,48566,Tanaing,MMR001004
