Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28809,26060,54869,Myebon,MMR012006
 Associate Scrutiny Card (blue),12,22,34,Myebon,MMR012006
 Naturalised Scrutiny Card (green),67,61,128,Myebon,MMR012006
 National Registration Card (3-fold),199,166,365,Myebon,MMR012006
 Religious card,283,6,289,Myebon,MMR012006
 Temporary Registration Card (white),423,542,965,Myebon,MMR012006
 Foreign Registration Card (FRC),-,1,1,Myebon,MMR012006
 Foreign Passport,16,17,33,Myebon,MMR012006
 None,19904,29654,49558,Myebon,MMR012006
 Child under 10 years,15646,15305,30951,Myebon,MMR012006
 Total,65359,71834,137193,Myebon,MMR012006
