Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),64706,73493,138199,Tatkon,MMR018003
 Associate Scrutiny Card (blue),26,29,55,Tatkon,MMR018003
 Naturalised Scrutiny Card (green),155,62,217,Tatkon,MMR018003
 National Registration Card (3-fold),711,901,1612,Tatkon,MMR018003
 Religious card,764,49,813,Tatkon,MMR018003
 Temporary Registration Card (white),146,129,275,Tatkon,MMR018003
 Foreign Registration Card (FRC),2,1,3,Tatkon,MMR018003
 Foreign Passport,13,11,24,Tatkon,MMR018003
 None,17377,19335,36712,Tatkon,MMR018003
 Child under 10 years,19815,19368,39183,Tatkon,MMR018003
 Total,103715,113378,217093,Tatkon,MMR018003
