Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),38402,35159,73561,Kyunsu,MMR006006
 Associate Scrutiny Card (blue),22,18,40,Kyunsu,MMR006006
 Naturalised Scrutiny Card (green),105,39,144,Kyunsu,MMR006006
 National Registration Card (3-fold),905,1093,1998,Kyunsu,MMR006006
 Religious card,265,14,279,Kyunsu,MMR006006
 Temporary Registration Card (white),115,90,205,Kyunsu,MMR006006
 Foreign Registration Card (FRC),2,2,4,Kyunsu,MMR006006
 Foreign Passport,36,11,47,Kyunsu,MMR006006
 None,25646,25283,50929,Kyunsu,MMR006006
 Child under 10 years,22279,22267,44546,Kyunsu,MMR006006
 Total,87777,83976,171753,Kyunsu,MMR006006
