Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),84007,108089,192096,Pakokku,MMR009018
 Associate Scrutiny Card (blue),45,52,97,Pakokku,MMR009018
 Naturalised Scrutiny Card (green),212,127,339,Pakokku,MMR009018
 National Registration Card (3-fold),629,1134,1763,Pakokku,MMR009018
 Religious card,1539,309,1848,Pakokku,MMR009018
 Temporary Registration Card (white),129,134,263,Pakokku,MMR009018
 Foreign Registration Card (FRC),4,2,6,Pakokku,MMR009018
 Foreign Passport,25,50,75,Pakokku,MMR009018
 None,19337,24670,44007,Pakokku,MMR009018
 Child under 10 years,24814,24831,49645,Pakokku,MMR009018
 Total,130741,159398,290139,Pakokku,MMR009018
