Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10533,9111,19644,Minephyat,MMR016010
 Associate Scrutiny Card (blue),-,2,2,Minephyat,MMR016010
 Naturalised Scrutiny Card (green),8,12,20,Minephyat,MMR016010
 National Registration Card (3-fold),19,26,45,Minephyat,MMR016010
 Religious card,83,-,83,Minephyat,MMR016010
 Temporary Registration Card (white),23,14,37,Minephyat,MMR016010
 Foreign Passport,2,2,4,Minephyat,MMR016010
 None,1781,1492,3273,Minephyat,MMR016010
 Child under 10 years,3760,3688,7448,Minephyat,MMR016010
 Total,16209,14347,30556,Minephyat,MMR016010
