Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),45098,49821,94919,Mohnyin,MMR001007
 Associate Scrutiny Card (blue),93,71,164,Mohnyin,MMR001007
 Naturalised Scrutiny Card (green),217,120,337,Mohnyin,MMR001007
 National Registration Card (3-fold),573,800,1373,Mohnyin,MMR001007
 Religious card,883,98,981,Mohnyin,MMR001007
 Temporary Registration Card (white),348,285,633,Mohnyin,MMR001007
 Foreign Registration Card (FRC),4,5,9,Mohnyin,MMR001007
 Foreign Passport,19,11,30,Mohnyin,MMR001007
 None,15373,15064,30437,Mohnyin,MMR001007
 Child under 10 years,16187,15528,31715,Mohnyin,MMR001007
 Total,78795,81803,160598,Mohnyin,MMR001007
