Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6900,5618,12518,Lahe,MMR005036
 Associate Scrutiny Card (blue),5,4,9,Lahe,MMR005036
 Naturalised Scrutiny Card (green),3,6,9,Lahe,MMR005036
 National Registration Card (3-fold),1,2,3,Lahe,MMR005036
 Religious card,25,2,27,Lahe,MMR005036
 Temporary Registration Card (white),3,6,9,Lahe,MMR005036
 Foreign Registration Card (FRC),2,-,2,Lahe,MMR005036
 Foreign Passport,5,6,11,Lahe,MMR005036
 None,8413,10056,18469,Lahe,MMR005036
 Child under 10 years,6086,6048,12134,Lahe,MMR005036
 Total,21443,21748,43191,Lahe,MMR005036
