Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36245,36500,72745,Pinlaung,MMR014009
 Associate Scrutiny Card (blue),25,24,49,Pinlaung,MMR014009
 Naturalised Scrutiny Card (green),90,47,137,Pinlaung,MMR014009
 National Registration Card (3-fold),317,523,840,Pinlaung,MMR014009
 Religious card,382,9,391,Pinlaung,MMR014009
 Temporary Registration Card (white),50,20,70,Pinlaung,MMR014009
 Foreign Registration Card (FRC),2,-,2,Pinlaung,MMR014009
 Foreign Passport,9,11,20,Pinlaung,MMR014009
 None,8566,9037,17603,Pinlaung,MMR014009
 Child under 10 years,11725,11465,23190,Pinlaung,MMR014009
 Total,57411,57636,115047,Pinlaung,MMR014009
