Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),26344,24934,51278,Tanintharyi,MMR006008
 Associate Scrutiny Card (blue),20,15,35,Tanintharyi,MMR006008
 Naturalised Scrutiny Card (green),129,36,165,Tanintharyi,MMR006008
 National Registration Card (3-fold),1024,1196,2220,Tanintharyi,MMR006008
 Religious card,224,21,245,Tanintharyi,MMR006008
 Temporary Registration Card (white),228,179,407,Tanintharyi,MMR006008
 Foreign Registration Card (FRC),20,9,29,Tanintharyi,MMR006008
 Foreign Passport,7,6,13,Tanintharyi,MMR006008
 None,13326,12841,26167,Tanintharyi,MMR006008
 Child under 10 years,13495,12799,26294,Tanintharyi,MMR006008
 Total,54817,52036,106853,Tanintharyi,MMR006008
