Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29223,40082,69305,Kamayut,MMR013041
 Associate Scrutiny Card (blue),128,139,267,Kamayut,MMR013041
 Naturalised Scrutiny Card (green),150,153,303,Kamayut,MMR013041
 National Registration Card (3-fold),114,163,277,Kamayut,MMR013041
 Religious card,218,12,230,Kamayut,MMR013041
 Temporary Registration Card (white),54,145,199,Kamayut,MMR013041
 Foreign Registration Card (FRC),76,59,135,Kamayut,MMR013041
 Foreign Passport,684,290,974,Kamayut,MMR013041
 None,2791,3174,5965,Kamayut,MMR013041
 Child under 10 years,3520,3394,6914,Kamayut,MMR013041
 Total,36958,47611,84569,Kamayut,MMR013041
