Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),75793,75616,151409,Wakema,MMR017017
 Associate Scrutiny Card (blue),43,62,105,Wakema,MMR017017
 Naturalised Scrutiny Card (green),292,122,414,Wakema,MMR017017
 National Registration Card (3-fold),1669,2022,3691,Wakema,MMR017017
 Religious card,826,80,906,Wakema,MMR017017
 Temporary Registration Card (white),96,93,189,Wakema,MMR017017
 Foreign Registration Card (FRC),7,6,13,Wakema,MMR017017
 Foreign Passport,25,29,54,Wakema,MMR017017
 None,33231,41875,75106,Wakema,MMR017017
 Child under 10 years,28716,28503,57219,Wakema,MMR017017
 Total,140698,148408,289106,Wakema,MMR017017
