Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),16467,18489,34956,Ngape,MMR009009
 Associate Scrutiny Card (blue),1,6,7,Ngape,MMR009009
 Naturalised Scrutiny Card (green),31,14,45,Ngape,MMR009009
 National Registration Card (3-fold),24,26,50,Ngape,MMR009009
 Religious card,170,19,189,Ngape,MMR009009
 Temporary Registration Card (white),18,16,34,Ngape,MMR009009
 Foreign Passport,11,-,11,Ngape,MMR009009
 None,2942,3301,6243,Ngape,MMR009009
 Child under 10 years,5411,5196,10607,Ngape,MMR009009
 Total,25075,27067,52142,Ngape,MMR009009
