Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),57194,59328,116522,Kyaiklatt,MMR017025
 Associate Scrutiny Card (blue),25,30,55,Kyaiklatt,MMR017025
 Naturalised Scrutiny Card (green),295,262,557,Kyaiklatt,MMR017025
 National Registration Card (3-fold),196,353,549,Kyaiklatt,MMR017025
 Religious card,574,30,604,Kyaiklatt,MMR017025
 Temporary Registration Card (white),100,83,183,Kyaiklatt,MMR017025
 Foreign Registration Card (FRC),11,33,44,Kyaiklatt,MMR017025
 Foreign Passport,19,20,39,Kyaiklatt,MMR017025
 None,16581,19061,35642,Kyaiklatt,MMR017025
 Child under 10 years,19842,19303,39145,Kyaiklatt,MMR017025
 Total,94837,98503,193340,Kyaiklatt,MMR017025
