Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25096,26023,51119,Ywarngan,MMR014007
 Associate Scrutiny Card (blue),10,7,17,Ywarngan,MMR014007
 Naturalised Scrutiny Card (green),23,9,32,Ywarngan,MMR014007
 National Registration Card (3-fold),67,95,162,Ywarngan,MMR014007
 Religious card,331,11,342,Ywarngan,MMR014007
 Temporary Registration Card (white),13,14,27,Ywarngan,MMR014007
 Foreign Registration Card (FRC),2,-,2,Ywarngan,MMR014007
 Foreign Passport,7,6,13,Ywarngan,MMR014007
 None,7101,7150,14251,Ywarngan,MMR014007
 Child under 10 years,8399,8168,16567,Ywarngan,MMR014007
 Total,41049,41483,82532,Ywarngan,MMR014007
