Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13391,14813,28204,Namtu,MMR015015
 Associate Scrutiny Card (blue),26,19,45,Namtu,MMR015015
 Naturalised Scrutiny Card (green),298,287,585,Namtu,MMR015015
 National Registration Card (3-fold),423,526,949,Namtu,MMR015015
 Religious card,148,7,155,Namtu,MMR015015
 Temporary Registration Card (white),53,55,108,Namtu,MMR015015
 Foreign Registration Card (FRC),33,16,49,Namtu,MMR015015
 Foreign Passport,14,1,15,Namtu,MMR015015
 None,4533,4861,9394,Namtu,MMR015015
 Child under 10 years,5529,5390,10919,Namtu,MMR015015
 Total,24448,25975,50423,Namtu,MMR015015
