Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),96745,111673,208418,Mingaladon,MMR013002
 Associate Scrutiny Card (blue),102,103,205,Mingaladon,MMR013002
 Naturalised Scrutiny Card (green),817,490,1307,Mingaladon,MMR013002
 National Registration Card (3-fold),4137,5616,9753,Mingaladon,MMR013002
 Religious card,2859,1000,3859,Mingaladon,MMR013002
 Temporary Registration Card (white),944,1184,2128,Mingaladon,MMR013002
 Foreign Registration Card (FRC),70,54,124,Mingaladon,MMR013002
 Foreign Passport,266,147,413,Mingaladon,MMR013002
 None,28122,29766,57888,Mingaladon,MMR013002
 Child under 10 years,24197,23294,47491,Mingaladon,MMR013002
 Total,158259,173327,331586,Mingaladon,MMR013002
