Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10041,8883,18924,Maungtaw,MMR012009
 Associate Scrutiny Card (blue),6,15,21,Maungtaw,MMR012009
 Naturalised Scrutiny Card (green),795,850,1645,Maungtaw,MMR012009
 National Registration Card (3-fold),98,103,201,Maungtaw,MMR012009
 Religious card,131,7,138,Maungtaw,MMR012009
 Temporary Registration Card (white),587,609,1196,Maungtaw,MMR012009
 Foreign Registration Card (FRC),5,5,10,Maungtaw,MMR012009
 Foreign Passport,11,12,23,Maungtaw,MMR012009
 None,3935,4009,7944,Maungtaw,MMR012009
 Child under 10 years,4169,3928,8097,Maungtaw,MMR012009
 Total,19778,18421,38199,Maungtaw,MMR012009
