Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),32121,30747,62868,Banmauk,MMR005023
 Associate Scrutiny Card (blue),15,12,27,Banmauk,MMR005023
 Naturalised Scrutiny Card (green),93,25,118,Banmauk,MMR005023
 National Registration Card (3-fold),188,272,460,Banmauk,MMR005023
 Religious card,351,54,405,Banmauk,MMR005023
 Temporary Registration Card (white),106,48,154,Banmauk,MMR005023
 Foreign Registration Card (FRC),1,-,1,Banmauk,MMR005023
 Foreign Passport,9,1,10,Banmauk,MMR005023
 None,10940,11691,22631,Banmauk,MMR005023
 Child under 10 years,13371,12623,25994,Banmauk,MMR005023
 Total,57195,55473,112668,Banmauk,MMR005023
