Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),31962,32326,64288,Hopon,MMR014003
 Associate Scrutiny Card (blue),35,40,75,Hopon,MMR014003
 Naturalised Scrutiny Card (green),65,64,129,Hopon,MMR014003
 National Registration Card (3-fold),113,205,318,Hopon,MMR014003
 Religious card,388,5,393,Hopon,MMR014003
 Temporary Registration Card (white),30,23,53,Hopon,MMR014003
 Foreign Registration Card (FRC),2,2,4,Hopon,MMR014003
 Foreign Passport,11,7,18,Hopon,MMR014003
 None,10666,12121,22787,Hopon,MMR014003
 Child under 10 years,12263,12020,24283,Hopon,MMR014003
 Total,55535,56813,112348,Hopon,MMR014003
