Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),34720,40371,75091,Thayet,MMR009012
 Associate Scrutiny Card (blue),13,13,26,Thayet,MMR009012
 Naturalised Scrutiny Card (green),82,51,133,Thayet,MMR009012
 National Registration Card (3-fold),390,698,1088,Thayet,MMR009012
 Religious card,404,59,463,Thayet,MMR009012
 Temporary Registration Card (white),39,52,91,Thayet,MMR009012
 Foreign Registration Card (FRC),56,53,109,Thayet,MMR009012
 Foreign Passport,7,4,11,Thayet,MMR009012
 None,6030,6307,12337,Thayet,MMR009012
 Child under 10 years,7644,7354,14998,Thayet,MMR009012
 Total,49385,54962,104347,Thayet,MMR009012
