Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),58610,76822,135432,Yesagyo,MMR009019
 Associate Scrutiny Card (blue),16,17,33,Yesagyo,MMR009019
 Naturalised Scrutiny Card (green),125,105,230,Yesagyo,MMR009019
 National Registration Card (3-fold),404,697,1101,Yesagyo,MMR009019
 Religious card,914,57,971,Yesagyo,MMR009019
 Temporary Registration Card (white),46,62,108,Yesagyo,MMR009019
 Foreign Registration Card (FRC),2,2,4,Yesagyo,MMR009019
 Foreign Passport,17,14,31,Yesagyo,MMR009019
 None,14790,24071,38861,Yesagyo,MMR009019
 Child under 10 years,19429,19152,38581,Yesagyo,MMR009019
 Total,94353,120999,215352,Yesagyo,MMR009019
