Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),74212,74320,148532,Pyigyidagun,MMR010005
 Associate Scrutiny Card (blue),101,95,196,Pyigyidagun,MMR010005
 Naturalised Scrutiny Card (green),358,162,520,Pyigyidagun,MMR010005
 National Registration Card (3-fold),841,1278,2119,Pyigyidagun,MMR010005
 Religious card,2164,623,2787,Pyigyidagun,MMR010005
 Temporary Registration Card (white),175,217,392,Pyigyidagun,MMR010005
 Foreign Registration Card (FRC),16,7,23,Pyigyidagun,MMR010005
 Foreign Passport,69,18,87,Pyigyidagun,MMR010005
 None,22749,20844,43593,Pyigyidagun,MMR010005
 Child under 10 years,20109,19340,39449,Pyigyidagun,MMR010005
 Total,120794,116904,237698,Pyigyidagun,MMR010005
