Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),37599,42855,80454,Sittway,MMR012001
 Associate Scrutiny Card (blue),22,35,57,Sittway,MMR012001
 Naturalised Scrutiny Card (green),416,492,908,Sittway,MMR012001
 National Registration Card (3-fold),381,655,1036,Sittway,MMR012001
 Religious card,1009,112,1121,Sittway,MMR012001
 Temporary Registration Card (white),804,572,1376,Sittway,MMR012001
 Foreign Registration Card (FRC),10,8,18,Sittway,MMR012001
 Foreign Passport,136,58,194,Sittway,MMR012001
 None,17998,21213,39211,Sittway,MMR012001
 Child under 10 years,12095,11429,23524,Sittway,MMR012001
 Total,70470,77429,147899,Sittway,MMR012001
