Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),71849,81881,153730,Amarapura,MMR010006
 Associate Scrutiny Card (blue),63,42,105,Amarapura,MMR010006
 Naturalised Scrutiny Card (green),206,94,300,Amarapura,MMR010006
 National Registration Card (3-fold),670,786,1456,Amarapura,MMR010006
 Religious card,2089,318,2407,Amarapura,MMR010006
 Temporary Registration Card (white),373,549,922,Amarapura,MMR010006
 Foreign Registration Card (FRC),3,7,10,Amarapura,MMR010006
 Foreign Passport,107,27,134,Amarapura,MMR010006
 None,19583,20390,39973,Amarapura,MMR010006
 Child under 10 years,19538,19043,38581,Amarapura,MMR010006
 Total,114481,123137,237618,Amarapura,MMR010006
