Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),78936,90720,169656,Taungdwingyi,MMR009004
 Associate Scrutiny Card (blue),68,61,129,Taungdwingyi,MMR009004
 Naturalised Scrutiny Card (green),214,136,350,Taungdwingyi,MMR009004
 National Registration Card (3-fold),879,1692,2571,Taungdwingyi,MMR009004
 Religious card,770,34,804,Taungdwingyi,MMR009004
 Temporary Registration Card (white),94,101,195,Taungdwingyi,MMR009004
 Foreign Registration Card (FRC),4,10,14,Taungdwingyi,MMR009004
 Foreign Passport,23,26,49,Taungdwingyi,MMR009004
 None,18614,21892,40506,Taungdwingyi,MMR009004
 Child under 10 years,23104,22482,45586,Taungdwingyi,MMR009004
 Total,122706,137154,259860,Taungdwingyi,MMR009004
