Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),75918,80959,156877,Patheingyi,MMR010007
 Associate Scrutiny Card (blue),62,40,102,Patheingyi,MMR010007
 Naturalised Scrutiny Card (green),407,216,623,Patheingyi,MMR010007
 National Registration Card (3-fold),1085,1457,2542,Patheingyi,MMR010007
 Religious card,1540,134,1674,Patheingyi,MMR010007
 Temporary Registration Card (white),233,251,484,Patheingyi,MMR010007
 Foreign Registration Card (FRC),17,3,20,Patheingyi,MMR010007
 Foreign Passport,14,22,36,Patheingyi,MMR010007
 None,25059,27797,52856,Patheingyi,MMR010007
 Child under 10 years,24669,23842,48511,Patheingyi,MMR010007
 Total,129004,134721,263725,Patheingyi,MMR010007
