Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),89502,113325,202827,Meiktila,MMR010028
 Associate Scrutiny Card (blue),57,64,121,Meiktila,MMR010028
 Naturalised Scrutiny Card (green),296,191,487,Meiktila,MMR010028
 National Registration Card (3-fold),668,1079,1747,Meiktila,MMR010028
 Religious card,1921,176,2097,Meiktila,MMR010028
 Temporary Registration Card (white),288,269,557,Meiktila,MMR010028
 Foreign Registration Card (FRC),9,22,31,Meiktila,MMR010028
 Foreign Passport,68,28,96,Meiktila,MMR010028
 None,23431,25722,49153,Meiktila,MMR010028
 Child under 10 years,26547,26000,52547,Meiktila,MMR010028
 Total,142787,166876,309663,Meiktila,MMR010028
