Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),58095,74131,132226,Natmauk,MMR009006
 Associate Scrutiny Card (blue),18,26,44,Natmauk,MMR009006
 Naturalised Scrutiny Card (green),170,132,302,Natmauk,MMR009006
 National Registration Card (3-fold),481,919,1400,Natmauk,MMR009006
 Religious card,708,15,723,Natmauk,MMR009006
 Temporary Registration Card (white),78,81,159,Natmauk,MMR009006
 Foreign Registration Card (FRC),2,2,4,Natmauk,MMR009006
 Foreign Passport,6,20,26,Natmauk,MMR009006
 None,13557,19487,33044,Natmauk,MMR009006
 Child under 10 years,19659,19409,39068,Natmauk,MMR009006
 Total,92774,114222,206996,Natmauk,MMR009006
