Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),37422,34837,72259,Hsipaw,MMR015014
 Associate Scrutiny Card (blue),69,61,130,Hsipaw,MMR015014
 Naturalised Scrutiny Card (green),473,231,704,Hsipaw,MMR015014
 National Registration Card (3-fold),2012,2507,4519,Hsipaw,MMR015014
 Religious card,436,105,541,Hsipaw,MMR015014
 Temporary Registration Card (white),133,134,267,Hsipaw,MMR015014
 Foreign Registration Card (FRC),29,23,52,Hsipaw,MMR015014
 Foreign Passport,47,32,79,Hsipaw,MMR015014
 None,27775,35026,62801,Hsipaw,MMR015014
 Child under 10 years,17440,17366,34806,Hsipaw,MMR015014
 Total,85836,90322,176158,Hsipaw,MMR015014
